"Profile.URL","rating","Username","Number.of.posts","Number.of.people.they.follow","Number.of.followers","has_profile_picture","Private.account"
"https://www.instagram.com/estervall93","False","estervall93",2,203,103,"True",False
"https://www.instagram.com/fabio_repupilli","False","fabio_repupilli",189,270,44583,"True",False
"https://www.instagram.com/fede_montanarl","False","fede_montanarl",64,566,376,"True",False
"https://www.instagram.com/ferhanalkisel","False","ferhanalkisel",11,6297,722,"True",False
"https://www.instagram.com/ferit_10","False","ferit_10",362,3680,14277,"True",False
"https://www.instagram.com/fernandohc98","False","fernandohc98",25,782,973,"True",False
"https://www.instagram.com/fibicloglambymel","False","fibicloglambymel",14,870,261,"True",False
"https://www.instagram.com/franklyn_mma","False","franklyn_mma",486,5539,1707,"True",False
"https://www.instagram.com/freshstylesalon","False","freshstylesalon",68,1011,175,"True",False
"https://www.instagram.com/fur_by_sd","False","fur_by_sd",868,2228,5799,"True",False
"https://www.instagram.com/gabrielle_dayer","False","gabrielle_dayer",246,1089,240,"True",False
"https://www.instagram.com/gdlife0","True","gdlife0",0,603,45,"True",False
"https://www.instagram.com/ghadoshka_98","False","ghadoshka_98",365,2288,441,"True",False
"https://www.instagram.com/giudittaghione","False","giudittaghione",555,1105,5682,"True",False
"https://www.instagram.com/globalpixxel","False","globalpixxel",568,557,1422,"True",False
"https://www.instagram.com/grafprince","False","grafprince",442,527,2004,"True",False
"https://www.instagram.com/guri_s.g","False","guri_s.g",222,824,2327,"True",False
"https://www.instagram.com/guxtavowarrior","False","guxtavowarrior",644,1439,595,"True",False
"https://www.instagram.com/happymum_schweiz","False","happymum_schweiz",73,914,394,"True",False
"https://www.instagram.com/hastens_harrods","False","hastens_harrods",42,488,188,"True",False
"https://www.instagram.com/ikramayabdja","False","ikramayabdja",37,496,206,"True",False
"https://www.instagram.com/instagraamd5094","True","instagraamd5094",0,2164,121,"True",False
"https://www.instagram.com/irinberdishian","False","irinberdishian",442,5383,4362,"True",False
"https://www.instagram.com/irisx1015","False","irisx1015",0,38,6,"True",False
"https://www.instagram.com/itsbarbaramensah","False","itsbarbaramensah",153,681,1192,"True",False
"https://www.instagram.com/jenny_skindeepart","False","jenny_skindeepart",196,578,710,"True",False
"https://www.instagram.com/jessy.crs","False","jessy.crs",99,371,246,"True",False
"https://www.instagram.com/juanchristiam","False","juanchristiam",4,2236,131,"True",False
"https://www.instagram.com/jularsdiary","False","jularsdiary",304,1288,26973,"True",False
"https://www.instagram.com/justabodybuilder","False","justabodybuilder",31,167,8844,"True",False
"https://www.instagram.com/justcatk","False","justcatk",140,59,237,"True",False
"https://www.instagram.com/karibra","False","karibra",213,938,371,"True",False
"https://www.instagram.com/karmanverdi","False","karmanverdi",114,416,22124,"True",False
"https://www.instagram.com/king_of_zurich","False","king_of_zurich",286,1730,16040,"True",False
"https://www.instagram.com/ladanielephant","False","ladanielephant",302,845,840,"True",False
"https://www.instagram.com/lancejohnson_","False","lancejohnson_",481,2687,13144,"True",False
"https://www.instagram.com/leventkpk","False","leventkpk",260,2890,4806,"True",False
"https://www.instagram.com/lifeofbila_","False","lifeofbila_",10,152,63,"True",False
"https://www.instagram.com/lili___z","False","lili___z",49,167,437,"True",False
"https://www.instagram.com/lisawalluschnig_","False","lisawalluschnig_",3,576,550,"True",False
"https://www.instagram.com/lojo7272","False","lojo7272",296,855,10832,"True",False
"https://www.instagram.com/lonvas","False","lonvas",68,7348,1024,"True",False
"https://www.instagram.com/lourdes_jim_hermon","False","lourdes_jim_hermon",40,6577,330,"True",False
"https://www.instagram.com/luca.bsu","False","luca.bsu",280,361,341,"True",False
"https://www.instagram.com/lynellestyle","False","lynellestyle",142,674,1441,"True",False
"https://www.instagram.com/mabdelgaber","False","mabdelgaber",108,98,37,"True",False
"https://www.instagram.com/magapat","False","magapat",0,37,16,"False",False
"https://www.instagram.com/malibuttner","False","malibuttner",1292,1389,1163,"True",False
"https://www.instagram.com/mariaagustinateijeiro","False","mariaagustinateijeiro",52,266,180,"True",False
"https://www.instagram.com/mariomario9536","False","mariomario9536",1,30,18,"True",False
"https://www.instagram.com/mark.chimera","False","mark.chimera",50,117,117,"True",False
"https://www.instagram.com/mary_saavedra","False","mary_saavedra",1000,1980,7838,"True",False
"https://www.instagram.com/mateostojkovicmicuda","False","mateostojkovicmicuda",4,448,107,"True",False
"https://www.instagram.com/mauro_pinna","False","mauro_pinna",101,203,6328,"True",False
